word,rank,frequency,cefr_level,sfi
conception,163,636796,A1,58.04
ex,164,635331,A1,58.03
ideology,165,635331,A1,58.03
sperm,166,632412,A1,58.01
quantitative,167,632412,A1,58.01
sphere,168,629506,A1,57.99
instability,169,626614,A1,57.97
mediate,170,623735,A1,57.95
specification,171,623735,A1,57.95
classify,172,622300,A1,57.94
physician,173,622300,A1,57.94
computation,174,619441,A1,57.92
oral,175,618016,A1,57.91
mid,176,618016,A1,57.91
indicator,177,616595,A1,57.9
variant,178,615177,A1,57.89
evolutionary,179,612350,A1,57.87
feedback,180,610942,A1,57.86
collective,181,605341,A1,57.82
arbitrary,182,605341,A1,57.82
fraction,183,603949,A1,57.81
estimation,184,602560,A1,57.8
nonlinear,185,602560,A1,57.8
compact,186,601174,A1,57.79
deviation,187,601174,A1,57.79
diagram,188,601174,A1,57.79
tropical,189,599791,A1,57.78
morphology,190,597035,A1,57.76
thereby,191,595662,A1,57.75
syntax,192,595662,A1,57.75
defect,193,594292,A2,57.74
separation,194,594292,A2,57.74
convergence,195,594292,A2,57.74
sufficiently,196,592925,A2,57.73
valid,197,592925,A2,57.73
interface,198,592925,A2,57.73
radiation,199,592925,A2,57.73
embed,200,591562,A2,57.72
vertical,201,591562,A2,57.72
acute,202,591562,A2,57.72
utility,203,588844,A2,57.7
complement,204,584790,A2,57.67
leaf,205,582103,A2,57.65
verbal,206,580764,A2,57.64
aggregate,207,580764,A2,57.64
equality,208,578096,A2,57.62
corpus,209,576766,A2,57.61
organ,210,575440,A2,57.6
gradient,211,575440,A2,57.6
methodology,212,575440,A2,57.6
entity,213,571479,A2,57.57
tumor,214,571479,A2,57.57
fiber,215,570164,A2,57.56
paradigm,216,568853,A2,57.55
psychology,217,566239,A2,57.53
infinite,218,564937,A2,57.52
diverse,219,561048,A2,57.49
diagnostic,220,561048,A2,57.49
continuity,221,555904,A2,57.45
variability,222,553350,A2,57.43
outer,223,552077,A2,57.42
notation,224,550808,A2,57.41
probe,225,548277,A2,57.39
migration,226,548277,A2,57.39
mathematical,227,548277,A2,57.39
likelihood,228,545758,A2,57.37
comparable,229,540754,A2,57.33
magnitude,230,538270,A2,57.31
array,231,537032,A2,57.3
inclusion,232,535797,A2,57.29
emission,233,533335,A2,57.27
inference,234,532108,A2,57.26
non,235,532108,A2,57.26
consciousness,236,529663,A2,57.24
simultaneously,237,528445,A2,57.23
disturbance,238,528445,A2,57.23
hierarchy,239,527230,A2,57.22
rotation,240,523600,A2,57.19
periodic,241,522396,A2,57.18
validity,242,522396,A2,57.18
archaeology,243,522396,A2,57.18
atom,244,521195,A2,57.17
modification,245,519996,A2,57.16
partition,246,518800,A2,57.15
initiate,247,518800,A2,57.15
autonomy,248,517607,A2,57.14
inhibit,249,516416,A2,57.13
consonant,250,515229,A2,57.12
biology,251,514044,A2,57.11
scenario,252,512861,A2,57.1
conditional,253,512861,A2,57.1
contrary,254,510505,A2,57.08
discrete,255,510505,A2,57.08
classroom,256,509331,A2,57.07
morphological,257,509331,A2,57.07
lateral,258,508159,A2,57.06
injection,259,506991,A2,57.05
effectiveness,260,506991,A2,57.05
insect,261,505825,A2,57.04
logical,262,504661,A2,57.03
calculus,263,502343,A2,57.01
longitudinal,264,501187,A2,57
usage,265,501187,A2,57
neutral,266,500035,A2,56.99
client,267,496592,A2,56.96
marginal,268,496592,A2,56.96
characterization,269,496592,A2,56.96
ethical,270,494311,A2,56.94
superior,271,493174,A2,56.93
approximate,272,493174,A2,56.93
composer,273,492040,A2,56.92
singular,274,492040,A2,56.92
converge,275,490908,A2,56.91
fetal,276,490908,A2,56.91
comprehension,277,489779,A2,56.9
implicit,278,489779,A2,56.9
span,279,488652,A2,56.89
oxygen,280,488652,A2,56.89
formulation,281,488652,A2,56.89
dialect,282,487528,A2,56.88
colony,283,486407,A2,56.87
immune,284,486407,A2,56.87
loop,285,484172,A2,56.85
algebra,286,483059,A2,56.84
derivative,287,483059,A2,56.84
appendix,288,483059,A2,56.84
overview,289,483059,A2,56.84
diffusion,290,481948,A2,56.83
specimen,291,479733,A2,56.81
assert,292,479733,A2,56.81
widespread,293,478630,A2,56.8
competence,294,478630,A2,56.8
residual,295,478630,A2,56.8
fusion,296,478630,A2,56.8
conservation,297,477529,A2,56.79
constrain,298,477529,A2,56.79
differentiate,299,477529,A2,56.79
virtue,300,477529,A2,56.79
amino,301,477529,A2,56.79
partially,302,476431,A2,56.78
preliminary,303,476431,A2,56.78
philosophical,304,476431,A2,56.78
pre,305,474242,A2,56.76
transaction,306,474242,A2,56.76
prominent,307,472063,A2,56.74
indigenous,308,470977,A2,56.73
render,309,469894,A2,56.72
independently,310,469894,A2,56.72
symbolic,311,468813,A2,56.71
utilize,312,467735,A2,56.7
physiological,313,465586,A2,56.68
indirect,314,465586,A2,56.68
assembly,315,464515,A2,56.67
calcium,316,464515,A2,56.67
strictly,317,462381,A2,56.65
psychiatric,318,462381,A2,56.65
unity,319,462381,A2,56.65
critique,320,462381,A2,56.65
differentiation,321,462381,A2,56.65
closure,322,461318,A2,56.64
minimize,323,461318,A2,56.64
selective,324,461318,A2,56.64
availability,325,460257,A2,56.63
depict,326,458142,A2,56.61
cue,327,457088,A2,56.6
parental,328,456037,A2,56.59
ritual,329,454988,A2,56.58
fertility,330,452898,A2,56.56
adjacent,331,452898,A2,56.56
inhibition,332,451856,A2,56.55
observer,333,451856,A2,56.55
readily,334,451856,A2,56.55
questionnaire,335,451856,A2,56.55
generalization,336,451856,A2,56.55
qualitative,337,450817,A2,56.54
tense,338,449780,A2,56.53
locally,339,446684,A2,56.5
transcription,340,446684,A2,56.5
nutrient,341,446684,A2,56.5
reinforce,342,445656,A2,56.49
simulate,343,445656,A2,56.49
statistically,344,445656,A2,56.49
dense,345,445656,A2,56.49
ecology,346,445656,A2,56.49
null,347,443609,A2,56.47
terminal,348,442588,A2,56.46
informal,349,441570,A2,56.45
discharge,350,440555,A2,56.44
adaptive,351,440555,A2,56.44
ecological,352,439542,A2,56.43
protocol,353,438531,A2,56.42
progressive,354,437522,A2,56.41
aesthetic,355,437522,A2,56.41
agriculture,356,436516,A2,56.4
exploit,357,436516,A2,56.4
practitioner,358,435512,A2,56.39
occupation,359,434510,A2,56.38
equivalence,360,430527,A2,56.34
pragmatic,361,430527,A2,56.34
productivity,362,428549,A2,56.32
arrow,363,426580,A2,56.3
reproduce,364,426580,A2,56.3
commentary,365,425598,A2,56.29
residue,366,424620,A2,56.28
unstable,367,424620,A2,56.28
consensus,368,422669,A2,56.26
simplify,369,422669,A2,56.26
radius,370,420727,A2,56.24
artificial,371,418794,A2,56.22
harvest,372,417830,A2,56.21
suicide,373,416869,A2,56.2
pi,374,413048,A2,56.16
monkey,375,409261,A2,56.12
habitat,376,406443,A2,56.09
assignment,377,406443,A2,56.09
replicate,378,406443,A2,56.09
mechanical,379,405509,A2,56.08
disability,380,404576,A2,56.07
cattle,381,404576,A2,56.07
purely,382,404576,A2,56.07
contradiction,383,402717,A2,56.05
scatter,384,402717,A2,56.05
problematic,385,400867,A2,56.03
correction,386,399945,B1,56.02
linguistics,387,399945,B1,56.02
hormone,388,399025,B1,56.01
primitive,389,397192,B1,55.99
ethics,390,396278,B1,55.98
accumulation,391,395367,B1,55.97
static,392,394457,B1,55.96
consent,393,391742,B1,55.93
substrate,394,391742,B1,55.93
straightforward,395,391742,B1,55.93
discrimination,396,389942,B1,55.91
separately,397,389045,B1,55.9
randomize,398,387258,B1,55.88
sensory,399,384592,B1,55.85
confine,400,382825,B1,55.83
mineral,401,379315,B1,55.79
peripheral,402,379315,B1,55.79
spontaneous,403,376704,B1,55.76
reliability,404,375837,B1,55.75
clone,405,374973,B1,55.74
orient,406,374973,B1,55.74
elaborate,407,374111,B1,55.73
nominal,408,374111,B1,55.73
insert,409,373250,B1,55.72
reproduction,410,373250,B1,55.72
dominance,411,372392,B1,55.71
allocation,412,371535,B1,55.7
lung,413,370681,B1,55.69
productive,414,369828,B1,55.68
decay,415,368129,B1,55.66
conscious,416,368129,B1,55.66
thickness,417,368129,B1,55.66
transmit,418,367282,B1,55.65
conceive,419,366438,B1,55.64
offspring,420,366438,B1,55.64
resemble,421,365595,B1,55.63
circulation,422,365595,B1,55.63
correctly,423,364754,B1,55.62
necessity,424,363915,B1,55.61
metaphor,425,362243,B1,55.59
tract,426,362243,B1,55.59
liver,427,361410,B1,55.58
subjective,428,360579,B1,55.57
accumulate,429,360579,B1,55.57
rejection,430,359749,B1,55.56
maximize,431,359749,B1,55.56
replacement,432,358922,B1,55.55
amongst,433,356451,B1,55.52
complication,434,355631,B1,55.51
plural,435,354813,B1,55.5
valve,436,354813,B1,55.5
absorption,437,353183,B1,55.48
monetary,438,352371,B1,55.47
thermal,439,352371,B1,55.47
likewise,440,351560,B1,55.46
tolerance,441,350752,B1,55.45
articulate,442,349945,B1,55.44
donor,443,349945,B1,55.44
flux,444,348337,B1,55.42
mobility,445,347536,B1,55.41
manipulation,446,347536,B1,55.41
elevate,447,347536,B1,55.41
nationalism,448,345939,B1,55.39
analogy,449,345939,B1,55.39
adverse,450,345939,B1,55.39
nitrogen,451,344350,B1,55.37
plausible,452,344350,B1,55.37
vein,453,344350,B1,55.37
controversy,454,339625,B1,55.31
wheat,455,338065,B1,55.29
rewrite,456,336512,B1,55.27
manual,457,335738,B1,55.26
strategic,458,334195,B1,55.24
peasant,459,333426,B1,55.23
absorb,460,331131,B1,55.2
sketch,461,330370,B1,55.19
justification,462,330370,B1,55.19
lifetime,463,330370,B1,55.19
binary,464,328852,B1,55.17
definite,465,328852,B1,55.17
contour,466,325837,B1,55.13
execution,467,325837,B1,55.13
rhythm,468,325087,B1,55.12
ultimate,469,323594,B1,55.1
dictionary,470,323594,B1,55.1
constitution,471,321366,B1,55.07
acceleration,472,321366,B1,55.07
undermine,473,319890,B1,55.05
disadvantage,474,319890,B1,55.05
myth,475,318420,B1,55.03
strand,476,317687,B1,55.02
unify,477,314051,B1,54.97
randomly,478,313329,B1,54.96
philosopher,479,312608,B1,54.95
pronounce,480,312608,B1,54.95
workshop,481,312608,B1,54.95
objection,482,311889,B1,54.94
meaningful,483,311889,B1,54.94
wavelength,484,311889,B1,54.94
diagnose,485,311172,B1,54.93
accent,486,309030,B1,54.9
realm,487,309030,B1,54.9
replication,488,306902,B1,54.87
basin,489,306196,B1,54.86
admission,490,304789,B1,54.84
interestingly,491,304789,B1,54.84
clarify,492,304089,B1,54.83
grid,493,304089,B1,54.83
curriculum,494,302691,B1,54.81
displacement,495,301995,B1,54.8
coherent,496,301995,B1,54.8
standardize,497,301995,B1,54.8
civilization,498,301301,B1,54.79
positively,499,299226,B1,54.76
bacterial,500,297167,B1,54.73
deficiency,501,296483,B1,54.72
legitimate,502,295801,B1,54.71
sophisticate,503,293089,B1,54.67
accelerate,504,293089,B1,54.67
exponential,505,293089,B1,54.67
formally,506,290402,B1,54.63
socially,507,290402,B1,54.63
accurately,508,290402,B1,54.63
influential,509,289734,B1,54.62
progression,510,289068,B1,54.61
essence,511,289068,B1,54.61
cylinder,512,289068,B1,54.61
scholarship,513,288403,B1,54.6
sodium,514,288403,B1,54.6
predominantly,515,287740,B1,54.59
impulse,516,287740,B1,54.59
oscillation,517,287740,B1,54.59
theorist,518,287078,B1,54.58
manipulate,519,285759,B1,54.56
alliance,520,285102,B1,54.55
crystal,521,285102,B1,54.55
importantly,522,284446,B1,54.54
stack,523,283139,B1,54.52
drift,524,283139,B1,54.52
nest,525,282488,B1,54.51
fossil,526,281838,B1,54.5
dimensional,527,281838,B1,54.5
resistant,528,281838,B1,54.5
punishment,529,281838,B1,54.5
rhetoric,530,281190,B1,54.49
artifact,531,280543,B1,54.48
carrier,532,279898,B1,54.47
surgical,533,279254,B1,54.46
coordination,534,279254,B1,54.46
turbulent,535,277971,B1,54.44
quantum,536,277971,B1,54.44
sediment,537,275423,B1,54.4
ray,538,273527,B1,54.37
conserve,539,272898,B1,54.36
primer,540,272270,B1,54.35
grasp,541,272270,B1,54.35
bulk,542,271019,B1,54.33
terminology,543,270396,B1,54.32
vegetation,544,270396,B1,54.32
triangle,545,267917,B1,54.28
traditionally,546,267917,B1,54.28
execute,547,266686,B1,54.26
intensive,548,264850,B1,54.23
reconstruct,549,264241,B1,54.22
broadly,550,263633,B1,54.21
metabolism,551,263633,B1,54.21
revolutionary,552,263027,B1,54.2
merge,553,262422,B1,54.19
dilemma,554,261216,B1,54.17
motif,555,260615,B1,54.16
motive,556,260016,B1,54.15
subtle,557,260016,B1,54.15
clinic,558,260016,B1,54.15
allocate,559,259418,B1,54.14
hydrogen,560,258226,B1,54.12
dissertation,561,258226,B1,54.12
susceptible,562,257632,B1,54.11
architect,563,257632,B1,54.11
coronary,564,257040,B1,54.1
breakdown,565,255859,B1,54.08
inject,566,255859,B1,54.08
economist,567,255270,B1,54.07
momentum,568,253513,B1,54.04
polar,569,252930,B1,54.03
backward,570,252930,B1,54.03
multiply,571,252348,B1,54.02
morality,572,251768,B1,54.01
communicative,573,251189,B1,54
physically,574,250611,B1,53.99
rainfall,575,250611,B1,53.99
politically,576,250611,B1,53.99
invasion,577,249459,B1,53.97
inevitably,578,248886,B2,53.96
capitalism,579,248313,B2,53.95
expertise,580,247742,B2,53.94
inferior,581,247172,B2,53.93
actively,582,246604,B2,53.92
quotation,583,246037,B2,53.91
composite,584,246037,B2,53.91
historically,585,245471,B2,53.9
textbook,586,244906,B2,53.89
bundle,587,244343,B2,53.88
elementary,588,244343,B2,53.88
capitalist,589,244343,B2,53.88
flexibility,590,243781,B2,53.87
cord,591,242103,B2,53.84
initiation,592,242103,B2,53.84
realistic,593,242103,B2,53.84
horizon,594,241546,B2,53.83
consultation,595,241546,B2,53.83
ruler,596,241546,B2,53.83
freely,597,240991,B2,53.82
rotate,598,240436,B2,53.81
commodity,599,240436,B2,53.81
elevation,600,239332,B2,53.79
intervene,601,238781,B2,53.78
compensate,602,238781,B2,53.78
atomic,603,238781,B2,53.78
trivial,604,238232,B2,53.77
stance,605,237684,B2,53.76
stabilize,606,236592,B2,53.74
profound,607,235505,B2,53.72
whereby,608,235505,B2,53.72
ancestor,609,234963,B2,53.71
genetics,610,234963,B2,53.71
proton,611,232809,B2,53.67
phosphate,612,231206,B2,53.64
gravity,613,231206,B2,53.64
pole,614,230675,B2,53.63
puzzle,615,230144,B2,53.62
respiratory,616,230144,B2,53.62
elimination,617,229615,B2,53.61
exit,618,229615,B2,53.61
corruption,619,228034,B2,53.58
circulate,620,227510,B2,53.57
obscure,621,226986,B2,53.56
contradict,622,225424,B2,53.53
interfere,623,224388,B2,53.51
trauma,624,224388,B2,53.51
upward,625,223872,B2,53.5
gross,626,223357,B2,53.49
optical,627,222331,B2,53.47
communist,628,222331,B2,53.47
continent,629,221820,B2,53.46
physics,630,220800,B2,53.44
viable,631,220800,B2,53.44
limb,632,220293,B2,53.43
retrieve,633,219280,B2,53.41
presume,634,219280,B2,53.41
rationality,635,218273,B2,53.39
stereotype,636,217270,B2,53.37
slavery,637,215774,B2,53.34
artistic,638,212814,B2,53.28
anthropology,639,212814,B2,53.28
faculty,640,212814,B2,53.28
antibiotic,641,212814,B2,53.28
portray,642,212814,B2,53.28
chemistry,643,210378,B2,53.23
sexuality,644,210378,B2,53.23
axiom,645,209894,B2,53.22
pest,646,209894,B2,53.22
fracture,647,209411,B2,53.21
transplant,648,209411,B2,53.21
goods,649,208449,B2,53.19
shortly,650,207014,B2,53.16
epidemic,651,205589,B2,53.13
inversion,652,204644,B2,53.11
irrelevant,653,204174,B2,53.1
mechanic,654,203704,B2,53.09
epidemiology,655,203704,B2,53.09
dissolve,656,203704,B2,53.09
fatigue,657,201372,B2,53.04
nonetheless,658,200909,B2,53.03
bargain,659,199067,B2,52.99
infectious,660,198609,B2,52.98
individually,661,197242,B2,52.95
psychologist,662,197242,B2,52.95
trans,663,197242,B2,52.95
irrigation,664,194984,B2,52.9
diary,665,193642,B2,52.87
treaty,666,193197,B2,52.86
rehabilitation,667,193197,B2,52.86
illusion,668,192752,B2,52.85
bat,669,191867,B2,52.83
optimum,670,191867,B2,52.83
fever,671,191426,B2,52.82
paradox,672,191426,B2,52.82
kidney,673,189671,B2,52.78
predator,674,188365,B2,52.75
migrate,675,186209,B2,52.7
infinity,676,186209,B2,52.7
shallow,677,185780,B2,52.69
fundamentally,678,184077,B2,52.65
synthetic,679,182390,B2,52.61
solar,680,181970,B2,52.6
hepatitis,681,181970,B2,52.6
ton,682,181552,B2,52.59
bubble,683,180717,B2,52.57
bracket,684,180302,B2,52.56
elasticity,685,179473,B2,52.54
cure,686,179061,B2,52.53
contradictory,687,178649,B2,52.52
sensation,688,178238,B2,52.51
sustainable,689,177419,B2,52.49
elastic,690,177419,B2,52.49
machinery,691,176604,B2,52.47
dictate,692,175388,B2,52.44
vitamin,693,174985,B2,52.43
incline,694,174582,B2,52.42
leisure,695,173780,B2,52.4
enforcement,696,173380,B2,52.39
cyclic,697,173380,B2,52.39
prey,698,173380,B2,52.39
clue,699,172187,B2,52.36
friction,700,172187,B2,52.36
parenthesis,701,171791,B2,52.35
noble,702,171396,B2,52.34
potassium,703,171002,B2,52.33
reactive,704,171002,B2,52.33
genetically,705,170216,B2,52.31
bacteria,706,170216,B2,52.31
wisdom,707,170216,B2,52.31
crude,708,169434,B2,52.29
realism,709,169044,B2,52.28
deliberately,710,167880,B2,52.25
chemotherapy,711,167880,B2,52.25
surplus,712,167494,B2,52.24
capillary,713,167494,B2,52.24
directive,714,167109,B2,52.23
globalization,715,165577,B2,52.19
alien,716,164437,B2,52.16
portfolio,717,163305,B2,52.13
monopoly,718,163305,B2,52.13
lifestyle,719,162181,B2,52.1
invert,720,161436,B2,52.08
thread,721,161436,B2,52.08
clay,722,159588,B2,52.03
dye,723,159588,C1,52.03
transcribe,724,158855,C1,52.01
dilute,725,158855,C1,52.01
tribe,726,158125,C1,51.99
damp,727,157761,C1,51.98
economically,728,157398,C1,51.97
critically,729,154882,C1,51.9
secrete,730,153815,C1,51.87
hip,731,153462,C1,51.86
plantation,732,153109,C1,51.85
prejudice,733,151356,C1,51.8
onwards,734,151356,C1,51.8
anti,735,150314,C1,51.77
helix,736,149279,C1,51.74
interrupt,737,148594,C1,51.72
domination,738,146555,C1,51.66
undergraduate,739,145546,C1,51.63
soluble,740,145546,C1,51.63
innate,741,144877,C1,51.61
dioxide,742,144544,C1,51.6
goat,743,142561,C1,51.54
emit,744,142561,C1,51.54
confound,745,142233,C1,51.53
competent,746,142233,C1,51.53
degrade,747,141906,C1,51.52
layout,748,141579,C1,51.51
fabric,749,141254,C1,51.5
container,750,141254,C1,51.5
fungus,751,140929,C1,51.49
reservoir,752,140929,C1,51.49
footnote,753,140605,C1,51.48
bodily,754,139637,C1,51.45
niche,755,138676,C1,51.42
vague,756,138357,C1,51.41
affirm,757,136458,C1,51.35
urine,758,134896,C1,51.3
afterward,759,134276,C1,51.28
jazz,760,133660,C1,51.26
antiquity,761,133352,C1,51.25
unemployed,762,133045,C1,51.24
toxic,763,133045,C1,51.24
yeast,764,132739,C1,51.23
punish,765,130918,C1,51.17
forum,766,130918,C1,51.17
bleed,767,130918,C1,51.17
overhead,768,130918,C1,51.17
republic,769,130017,C1,51.14
processor,770,129420,C1,51.12
goodness,771,129420,C1,51.12
audit,772,126474,C1,51.02
comply,773,126474,C1,51.02
legend,774,126474,C1,51.02
slot,775,124165,C1,50.94
drain,776,122744,C1,50.89
abdominal,777,122744,C1,50.89
media,778,122462,C1,50.88
tempt,779,122462,C1,50.88
outlet,780,122462,C1,50.88
precipitation,781,122180,C1,50.87
founds,782,121619,C1,50.85
invade,783,121339,C1,50.84
interviewer,784,120504,C1,50.81
apple,785,120504,C1,50.81
planner,786,120226,C1,50.8
supposedly,787,119674,C1,50.78
gut,788,119399,C1,50.77
swell,789,118850,C1,50.75
emperor,790,117490,C1,50.7
altitude,791,116950,C1,50.68
gauge,792,116681,C1,50.67
transparency,793,115878,C1,50.64
sub,794,115611,C1,50.63
blank,795,114025,C1,50.57
chloride,796,112980,C1,50.53
sensible,797,112460,C1,50.51
weave,798,111429,C1,50.47
destination,799,111173,C1,50.46
precipitate,800,110154,C1,50.42
painful,801,109901,C1,50.41
industrialization,802,109648,C1,50.4
lab,803,109648,C1,50.4
seminar,804,108893,C1,50.37
minus,805,108643,C1,50.36
conduction,806,107895,C1,50.33
audio,807,107399,C1,50.31
subtract,808,107152,C1,50.3
facet,809,106905,C1,50.29
splice,810,103992,C1,50.17
incumbent,811,103992,C1,50.17
biodiversity,812,103514,C1,50.15
chunk,813,100462,C1,50.02
credibility,814,99770,C1,49.99
tutor,815,98401,C1,49.93
super,816,98175,C1,49.92
fin,817,97051,C1,49.87
aluminum,818,97051,C1,49.87
gram,819,96605,C1,49.85
liable,820,96161,C1,49.83
marble,821,95499,C1,49.8
pesticide,822,93972,C1,49.73
technically,823,92257,C1,49.65
criteria,824,92045,C1,49.64
fringe,825,91201,C1,49.6
messenger,826,90782,C1,49.58
biologist,827,90573,C1,49.57
connotation,828,90365,C1,49.56
delta,829,89743,C1,49.53
tremendous,830,88920,C1,49.49
snake,831,88512,C1,49.47
flesh,832,87498,C1,49.42
ghost,833,85901,C1,49.34
marrow,834,85901,C1,49.34
surgeon,835,85704,C1,49.33
instinct,836,85507,C1,49.32
industrialize,837,84723,C1,49.28
denominator,838,83753,C1,49.23
stripe,839,82985,C1,49.19
junior,840,82794,C1,49.18
solvent,841,82794,C1,49.18
kilometer,842,82035,C1,49.14
slab,843,81283,C1,49.1
click,844,79433,C1,49
hedge,845,76208,C1,48.82
spray,846,76208,C1,48.82
cinema,847,76033,C1,48.81
plug,848,75162,C1,48.76
naked,849,74645,C1,48.73
indifference,850,74473,C1,48.72
erase,851,73790,C1,48.68
powder,852,72277,C1,48.59
micro,853,70958,C1,48.51
clip,854,69183,C1,48.4
solute,855,68865,C1,48.38
dissection,856,67920,C1,48.32
censor,857,67298,C1,48.28
portrayal,858,67143,C1,48.27
statistics,859,63973,C1,48.06
thumb,860,63680,C1,48.04
acidic,861,63680,C1,48.04
uplift,862,63241,C1,48.01
flip,863,63096,C1,48
congruent,864,62806,C1,47.98
parcel,865,61944,C1,47.92
lecturer,866,61944,C1,47.92
skip,867,61802,C2,47.91
poster,868,61518,C2,47.89
sword,869,60674,C2,47.83
photographic,870,60395,C2,47.81
auction,871,59566,C2,47.75
barrel,872,59429,C2,47.74
mentor,873,59293,C2,47.73
nicely,874,59293,C2,47.73
lump,875,59156,C2,47.72
