word_lemma,pos,cefr_level,zipf_score,grade_level,sources,confidence
mean,verb,A2,5.2,4,"[""CEFR-J"",""NGSL""]",0.9
keep,verb,A2,5.1,4,"[""CEFR-J"",""NGSL""]",0.9
let,verb,A2,5.0,4,"[""CEFR-J"",""NGSL""]",0.9
begin,verb,A2,4.9,4,"[""CEFR-J"",""NGSL""]",0.9
seem,verb,A2,4.8,4,"[""CEFR-J"",""NGSL""]",0.9
help,verb,A2,5.3,4,"[""CEFR-J"",""NGSL""]",0.9
talk,verb,A2,5.0,3,"[""CEFR-J"",""NGSL""]",0.9
turn,verb,A2,4.9,3,"[""CEFR-J"",""NGSL""]",0.9
start,verb,A2,5.1,3,"[""CEFR-J"",""NGSL""]",0.9
show,verb,A2,5.0,3,"[""CEFR-J"",""NGSL""]",0.9
hear,verb,A2,4.8,3,"[""CEFR-J"",""NGSL""]",0.9
play,verb,A2,5.2,3,"[""CEFR-J"",""NGSL""]",0.9
run,verb,A2,4.7,3,"[""CEFR-J"",""NGSL""]",0.9
move,verb,A2,4.8,3,"[""CEFR-J"",""NGSL""]",0.9
live,verb,A2,5.0,3,"[""CEFR-J"",""NGSL""]",0.9
believe,verb,B1,4.7,21,"[""CEFR-J"",""NGSL""]",0.9
bring,verb,B1,4.8,21,"[""CEFR-J"",""NGSL""]",0.9
happen,verb,B1,4.6,21,"[""CEFR-J"",""NGSL""]",0.9
write,verb,B1,4.9,21,"[""CEFR-J"",""NGSL""]",0.9
provide,verb,B1,4.5,21,"[""CEFR-J"",""NGSL""]",0.9
sit,verb,B1,4.4,21,"[""CEFR-J"",""NGSL""]",0.9
stand,verb,B1,4.5,21,"[""CEFR-J"",""NGSL""]",0.9
lose,verb,B1,4.3,21,"[""CEFR-J"",""NGSL""]",0.9
pay,verb,B1,4.4,21,"[""CEFR-J"",""NGSL""]",0.9
meet,verb,B1,4.6,21,"[""CEFR-J"",""NGSL""]",0.9
include,verb,B1,4.5,2,"[""CEFR-J"",""NGSL""]",0.9
continue,verb,B1,4.4,2,"[""CEFR-J"",""NGSL""]",0.9
set,verb,B1,4.7,2,"[""CEFR-J"",""NGSL""]",0.9
learn,verb,B1,4.8,2,"[""CEFR-J"",""NGSL""]",0.9
change,verb,B1,4.6,2,"[""CEFR-J"",""NGSL""]",0.9
lead,verb,B1,4.3,2,"[""CEFR-J"",""NGSL""]",0.9
understand,verb,B1,4.7,2,"[""CEFR-J"",""NGSL""]",0.9
watch,verb,B1,4.5,2,"[""CEFR-J"",""NGSL""]",0.9
follow,verb,B1,4.4,2,"[""CEFR-J"",""NGSL""]",0.9
stop,verb,B1,4.5,2,"[""CEFR-J"",""NGSL""]",0.9
create,verb,B2,4.3,11,"[""CEFR-J"",""NGSL""]",0.9
speak,verb,B2,4.4,11,"[""CEFR-J"",""NGSL""]",0.9
read,verb,B2,4.6,11,"[""CEFR-J"",""NGSL""]",0.9
allow,verb,B2,4.2,11,"[""CEFR-J"",""NGSL""]",0.9
add,verb,B2,4.3,11,"[""CEFR-J"",""NGSL""]",0.9
spend,verb,B2,4.1,11,"[""CEFR-J"",""NGSL""]",0.9
grow,verb,B2,4.2,11,"[""CEFR-J"",""NGSL""]",0.9
open,verb,B2,4.4,11,"[""CEFR-J"",""NGSL""]",0.9
walk,verb,B2,4.3,11,"[""CEFR-J"",""NGSL""]",0.9
win,verb,B2,4.0,11,"[""CEFR-J"",""NGSL""]",0.9
offer,verb,C1,3.9,1,"[""CEFR-J"",""NGSL""]",0.8
consider,verb,C1,4.0,1,"[""CEFR-J"",""NGSL""]",0.8
appear,verb,C1,3.8,1,"[""CEFR-J"",""NGSL""]",0.8
buy,verb,C1,4.2,1,"[""CEFR-J"",""NGSL""]",0.8
wait,verb,C1,4.1,1,"[""CEFR-J"",""NGSL""]",0.8
serve,verb,C1,3.7,1,"[""CEFR-J"",""NGSL""]",0.8
die,verb,C1,3.9,1,"[""CEFR-J"",""NGSL""]",0.8
send,verb,C1,3.8,1,"[""CEFR-J"",""NGSL""]",0.8
expect,verb,C1,3.9,1,"[""CEFR-J"",""NGSL""]",0.8
build,verb,C1,4.0,1,"[""CEFR-J"",""NGSL""]",0.8
good,adj,A1,6.5,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
new,adj,A1,6.2,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
first,adj,A1,6.0,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
last,adj,A1,5.8,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
long,adj,A1,5.7,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
great,adj,A1,5.6,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
little,adj,A1,5.5,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
own,adj,A1,5.4,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
other,adj,A1,6.1,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
old,adj,A1,5.8,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
right,adj,A2,5.5,4,"[""CEFR-J"",""NGSL""]",0.9
big,adj,A2,5.4,4,"[""CEFR-J"",""NGSL""]",0.9
high,adj,A2,5.3,4,"[""CEFR-J"",""NGSL""]",0.9
different,adj,A2,5.2,4,"[""CEFR-J"",""NGSL""]",0.9
small,adj,A2,5.3,4,"[""CEFR-J"",""NGSL""]",0.9
large,adj,B1,5.0,21,"[""CEFR-J"",""NGSL""]",0.9
next,adj,B1,5.1,21,"[""CEFR-J"",""NGSL""]",0.9
early,adj,B1,4.9,21,"[""CEFR-J"",""NGSL""]",0.9
young,adj,B1,4.8,21,"[""CEFR-J"",""NGSL""]",0.9
important,adj,B1,5.0,21,"[""CEFR-J"",""NGSL""]",0.9
significant,adj,B2,4.0,11,"[""CEFR-J"",""NGSL""]",0.9
substantial,adj,C1,3.5,1,"[""CEFR-J""]",0.7
considerable,adj,C1,3.4,1,"[""CEFR-J""]",0.7
